,medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude,pickup_taxizone_id,dropoff_taxizone_id
7448285,2010000001,2010000001,VTS,1,,2010-01-16 22:54:00,2010-01-16 23:11:00,3,17.0,2.74,-74.005394,40.736534,-73.981377,40.759159,249,230.0
7458070,2010000001,2010000001,VTS,1,,2010-01-16 23:12:00,2010-01-16 23:31:00,2,19.0,8.08,-73.981209,40.759476,-73.939079,40.843224,230,244.0
7469603,2010000001,2010000001,VTS,1,,2010-01-16 23:33:00,2010-01-16 23:57:00,1,24.0,8.18,-73.939247,40.843117,-73.966324,40.755829,244,229.0
7483907,2010000001,2010000001,VTS,1,,2010-01-16 23:59:00,2010-01-17 00:15:00,2,16.0,3.56,-73.962326,40.758614,-74.002441,40.750298,229,246.0
8241460,2010000001,2010000001,VTS,1,,2010-01-18 19:17:00,2010-01-18 19:47:00,2,30.0,17.41,-73.822189,40.610508,-73.979424,40.745434,30,170.0
8253393,2010000001,2010000001,VTS,1,,2010-01-18 19:48:00,2010-01-18 20:04:00,2,16.0,2.28,-73.979477,40.745453,-74.008156,40.738026,170,158.0
8271247,2010000001,2010000001,VTS,1,,2010-01-18 20:43:00,2010-01-18 20:49:00,1,6.0,1.7,-73.991409,40.727314,-73.978264,40.748173,79,170.0
8620861,2010000001,2010000001,VTS,1,,2010-01-19 18:06:00,2010-01-19 18:37:00,1,31.0,14.81,-73.786926,40.64201,-73.952484,40.625614,132,165.0
8665411,2010000001,2010000001,VTS,1,,2010-01-19 19:31:00,2010-01-19 20:07:00,1,36.0,21.47,-73.789993,40.644024,-74.009018,40.719994,132,231.0
8687060,2010000001,2010000001,VTS,1,,2010-01-19 20:16:00,2010-01-19 20:32:00,1,16.0,5.08,-74.006798,40.730099,-73.95105,40.72765,249,112.0
9135030,2010000001,2010000001,VTS,1,,2010-01-20 19:33:00,2010-01-20 19:48:00,2,15.0,5.57,-73.788055,40.641506,-73.79866,40.694714,132,215.0
9156681,2010000001,2010000001,VTS,1,,2010-01-20 20:12:00,2010-01-20 20:33:00,1,21.0,14.16,-73.788467,40.641541,-73.920799,40.737347,132,226.0
9188907,2010000001,2010000001,VTS,1,,2010-01-20 21:16:00,2010-01-20 21:36:00,1,20.0,13.42,-73.781914,40.644718,-73.76709,40.757061,132,16.0
9217630,2010000001,2010000001,VTS,1,,2010-01-20 22:16:00,2010-01-20 22:46:00,1,30.0,18.21,-73.776474,40.645439,-73.931023,40.701843,132,37.0
9261365,2010000001,2010000001,VTS,1,,2010-01-21 00:15:00,2010-01-21 00:32:00,2,17.0,13.53,-73.780281,40.645679,-73.93219,40.583981,132,150.0
9590198,2010000001,2010000001,VTS,1,,2010-01-21 18:18:00,2010-01-21 19:10:00,1,52.0,20.9,-73.784081,40.648617,-74.012863,40.717644,132,13.0
9620538,2010000001,2010000001,VTS,1,,2010-01-21 19:11:00,2010-01-21 19:23:00,2,12.0,2.47,-74.012421,40.716854,-74.000832,40.738144,231,249.0
9628539,2010000001,2010000001,VTS,1,,2010-01-21 19:24:00,2010-01-21 19:34:00,1,10.0,2.15,-74.000923,40.73819,-73.992081,40.761497,249,48.0
